,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RS_dynare,RR_GAP_dynare,DLA_CPI_dynare,L_GDP_GAP_dynare,RES_RS_dynare,,,RS,RR_GAP,DLA_CPI,L_GDP_GAP,RES_RS_lag
-2.73026956076998,5.30988581009155,-4.57257073014389,-5.52493044713123,1,,0,-1.37244243188095,3.32254209080276,-2.70209970568476,-3.54607444342905,1
-5.49123400767311,4.37478569840983,-8.04015537086153,-8.20860152748116,0.8,,1,-2.82303211318339,2.8139767453998,-4.69498452268371,-5.2543024054973,0.8
-7.37489354747153,2.6679194078249,-9.86601970608294,-8.24535543003959,0.74,,2,-3.81415494034142,1.71908385764365,-5.63700885858319,-5.22897198248801,0.64
-8.11160816092155,0.82832838072471,-10.0428129552964,-6.39834831431827,0.672,,3,-4.12181260898522,0.513154867453365,-5.53323879798508,-3.97250630474183,0.512
-7.77431432502456,-0.665601011041627,-8.93993654164624,-3.64173407006571,0.6116,,4,-3.7784652373917,-0.468599425937027,-4.63496747643859,-2.13415171718713,0.4096
-6.6720724738141,-1.56845478910585,-7.10871331398292,-0.869362008056728,0.55648,,5,-2.97899451521016,-1.0559285712212,-3.30986581145467,-0.30849101240897,0.32768
-5.20399194966379,-1.8479412504451,-5.10361768470824,1.28764321892564,0.506344,,6,-1.9809374015133,-1.22698974732882,-1.92306594398896,1.08840788830614,0.262144
-3.73979373555811,-1.62596051022266,-3.35605069921868,2.5267475580316,0.4607232,,7,-1.02251771418614,-1.065226159646,-0.753947654184475,1.86231095080073,0.2097152
-2.54348070092674,-1.10300014928518,-2.11383322533545,2.84432400094676,0.419212959999999,,8,-0.271141048137658,-0.706666201095466,0.0427084454598665,2.019196960732,0.16777216
-1.74449827644444,-0.488068609275636,-1.44048055164156,2.44650894610565,0.381442687999999,,9,0.195550048507432,-0.292010528438736,0.435525152957808,1.70390641754791,0.134217728
-1.34841244860549,0.0517895582234376,-1.2564296671688,1.63911612066441,0.347075446399999,,10,0.381876926867457,0.0673624174186238,0.487560576946168,1.12540745742847,0.1073741824
-1.27263378331361,0.416963378942029,-1.40020200682893,0.728114078832926,0.315804625919999,,11,0.349633594878244,0.306150868168819,0.314514509448833,0.489928576210365,0.0858993459200001
-1.39143091402848,0.577593624810794,-1.68959716225564,-0.0498388942153564,0.287351245375999,,12,0.187648690708541,0.406174970147779,0.0434827267094251,-0.0451138829537303,0.068719476736
-1.57715935206035,0.559275119556811,-1.96902453883928,-0.560087219028791,0.261461458892799,,13,-0.0157961948001935,0.386305937350717,-0.218526279439237,-0.392165767184948,0.0549755813888
-1.72946681464585,0.420457989432174,-2.13643447161716,-0.769598001585065,0.237904291651839,,14,-0.192231712738187,0.286979198836572,-0.402102132150911,-0.53233536643912,0.04398046511104
-1.78947440495532,0.229217686388056,-2.14992480407803,-0.72361522597758,0.216469579210751,,15,-0.302052089833147,0.154477590423168,-0.479210911574759,-0.498950053711464,0.035184372088832
-1.74026198513532,0.044874331677591,-2.01869209134338,-0.511615308979073,0.196966092533785,,16,-0.334363584905204,0.0286399985561498,-0.456529680256315,-0.354224327382582,0.0281474976710656
-1.59769839661085,-0.0928267903592165,-1.78513631681291,-0.233544680154068,0.179219831948103,,17,-0.300433971961448,-0.0642425221589243,-0.363003583461355,-0.166430184319348,0.0225179981368525
-1.39662719656428,-0.166805518974514,-1.50487160625163,0.0260739094970756,0.163072474811861,,18,-0.224156305751702,-0.113298299454443,-0.236191449802524,0.0073934507678322,0.018014398509482
-1.17695472933273,-0.179649106252918,-1.22982167758976,0.212669370759598,0.148379963044299,,19,-0.132587275239372,-0.120874361099614,-0.110858006297259,0.13094175673882,0.0144115188075856
-0.972830347299375,-0.147054417478278,-0.997305623079813,0.304931806256164,0.135011217916625,,20,-0.0486778697139431,-0.0979984129952383,-0.0117129141397585,0.190558173682235,0.0115292150460685
-0.80643805728683,-0.0902806054527882,-0.825775929821096,0.309556076358311,0.12284697063773,,21,0.0128246373991745,-0.0592438762371254,0.0493205432812952,0.191427435330244,0.00922337203685479
-0.686409771153568,-0.0296279799760959,-0.716157451834041,0.251214086652428,0.111778698301847,,22,0.0463406535892062,-0.0183462898130857,0.0720685136363,0.150647702945064,0.00737869762948383
-0.609816803414915,0.0198860298257385,-0.656781791177472,0.161483513598759,0.10170765570525,,23,0.054025255165618,0.0146604015123676,0.064686943402292,0.0897025975751679,0.00590295810358706
-0.566199573500689,0.0503376320584741,-0.629702833240654,0.0695666512766374,0.0925439943943847,,24,0.0429954568117221,0.0345978060936166,0.0393648536532504,0.0282255659305158,0.00472236648286965
-0.542099587037424,0.0605452225223466,-0.616537205559163,-0.00363384158950609,0.0842059610860328,,25,0.0222579199878712,0.0408436949190803,0.00839765071810548,-0.0199188864291518,0.00377789318629572
-0.52490979223907,0.0542917931235128,-0.602644809559771,-0.0477541409889781,0.0766191683082647,,26,0.000129055150107707,0.0360882512692925,-0.018585774931209,-0.0480500223066937,0.00302231454903658
-0.505373738726892,0.0379581022267879,-0.579201585362583,-0.0621326010585757,0.069715930755215,,27,-0.0174133155498961,0.0247151885370117,-0.0359591961191848,-0.0560205661012638,0.00241785163922926
-0.478574429682961,0.0182834974080392,-0.543331840953679,-0.0530208472688794,0.0634346614349984,,28,-0.0273530334299042,0.0112895218131396,-0.0421285040869078,-0.0482762840579349,0.00193428131138341
-0.443645481887387,0.000724713104403224,-0.496857927091,-0.030069091182648,0.0577193222235202,,29,-0.0294015640778504,-0.000536655381320188,-0.0386425552430439,-0.0314584885132478,0.00154742504910673
-0.402657171312122,-0.0113957009046813,-0.44437019499179,-0.00310496242569896,0.052518923922316,,30,-0.0252190880357066,-0.00857853562653541,-0.0288649086965303,-0.0122335487042273,0.00123794003928538
-0.359180260556054,-0.016997338371613,-0.39126147040744,0.020150881806751,0.0477870713602048,,31,-0.017432296736487,-0.0121709470837076,-0.0166405524091712,0.00422576765483627,0.000990352031428306
-0.316951218935474,-0.0168073899453867,-0.342182922184441,0.035197275143231,0.0434815494803954,,32,-0.00873320347074549,-0.011859166392177,-0.00526134965277938,0.0149594509109049,0.000792281625142645
-0.278910910462399,-0.0126470051518672,-0.300143828990087,0.0407958475739935,0.0395639467203368,,33,-0.00123872215688795,-0.00890822865784489,0.00312596292143148,0.0192188449734269,0.000633825300114116
-0.246721414214907,-0.00668549237770566,-0.266263905310532,0.0382597010311256,0.035999312324309,,34,0.00382295429677051,-0.00479739292471791,0.00766950650095694,0.0179635142949698,0.000507060240091293
-0.22072523257979,-0.000841666993184442,-0.240035921837201,0.0303781361136696,0.0327558445314809,,35,0.00612738970718261,-0.000819218173356206,0.00862034722148843,0.0131229003074054,0.000405648192073034
-0.200221462734311,0.00357620661803464,-0.219883565586605,0.0203323000816863,0.0298046068576156,,36,0.00605781785716418,0.00215733034661125,0.00694660788053882,0.00686190514518138,0.000324518553658427
-0.18389954997506,0.00598242439582097,-0.203797669352346,0.0108510062639737,0.0271192699392405,,37,0.00440679703845328,0.00375564972103365,0.00390048751055293,0.00101609911573708,0.000259614842926742
-0.170283818841031,0.00642760878671371,-0.189881974370881,0.00372574119164265,0.024675876637154,,38,0.00207463811721658,0.00402751500438189,0.000651147317419626,-0.00322657994274187,0.000207691874341394
-0.158084109602956,0.00539399216167549,-0.176711427627745,-0.000313895599887251,0.0224526283036472,,39,-0.000165714863503236,0.00331116252326587,-0.00195287688716531,-0.00540011852490571,0.000166153499473115
