.GRPDESC,Real Gross Domestic Product,Selected Interest Rates [FRB H.15],"Consumer Price Index Press Release, SA & NSA"
Date ,GDP,RS,CPI
19901,10047.4,8.25,132.767
19902,10083.9,8.24,134.500
19903,10090.6,8.16,136.500
19904,9998.7,7.74,138.067
19911,9951.9,6.43,140.067
19912,10029.5,5.86,141.333
19913,10080.2,5.64,142.867
19914,10115.3,4.82,144.200
19921,10236.4,4.02,145.467
19922,10347.4,3.77,146.733
19923,10449.7,3.26,147.867
19924,10558.6,3.04,149.200
19931,10576.3,3.04,150.500
19932,10637.8,3.00,151.767
19933,10688.6,3.06,152.667
19934,10834.0,2.99,153.867
19941,10939.1,3.21,154.867
19942,11087.4,3.94,155.933
19943,11152.2,4.49,157.100
19944,11279.9,5.17,158.100
19951,11320.0,5.81,159.433
19952,11353.7,6.02,160.733
19953,11450.3,5.80,161.800
19954,11528.1,5.72,162.933
19961,11614.4,5.36,164.033
19962,11808.1,5.24,165.000
19963,11914.1,5.31,166.067
19964,12037.8,5.28,167.133
19971,12115.5,5.28,168.100
19972,12317.2,5.52,169.167
19973,12471.0,5.53,169.900
19974,12577.5,5.51,170.867
19981,12703.7,5.52,171.900
19982,12821.3,5.50,172.867
19983,12982.8,5.53,173.900
19984,13191.7,4.86,174.867
19991,13315.6,4.73,175.633
19992,13426.7,4.75,176.467
19993,13604.8,5.09,177.400
19994,13828.0,5.31,178.400
20001,13878.1,5.68,179.567
20002,14130.9,6.27,180.700
20003,14145.3,6.52,181.900
20004,14229.8,6.47,183.000
20011,14183.1,5.59,184.333
20012,14271.7,4.33,185.467
20013,14214.5,3.50,186.733
20014,14253.6,2.13,187.967
20021,14372.8,1.73,189.000
20022,14460.8,1.75,189.967
20023,14519.6,1.74,190.967
20024,14537.6,1.44,191.833
20031,14614.1,1.25,192.467
20032,14743.6,1.25,192.800
20033,14988.8,1.02,193.567
20034,15162.8,1.00,194.067
20041,15248.7,1.00,195.000
20042,15366.9,1.01,196.233
20043,15512.6,1.43,197.067
20044,15670.9,1.95,198.267
20051,15844.7,2.47,199.500
20052,15922.8,2.94,200.433
20053,16047.6,3.46,201.100
20054,16136.7,3.98,202.433
20061,16353.8,4.46,203.700
20062,16396.2,4.91,205.367
20063,16420.7,5.25,206.767
20064,16561.9,5.25,207.833
20071,16611.7,5.26,209.051
20072,16713.3,5.25,210.066
20073,16809.6,5.07,211.149
20074,16915.2,4.50,212.635
20081,16843.0,3.18,214.043
20082,16943.3,2.09,214.973
20083,16854.3,1.94,216.357
20084,16485.4,0.51,216.887
20091,16298.3,0.18,217.797
20092,16269.1,0.18,218.907
20093,16326.3,0.16,219.560
20094,16502.8,0.12,220.683
20101,16582.7,0.13,220.716
20102,16743.2,0.19,220.993
20103,16872.3,0.19,221.528
20104,16960.9,0.19,222.107
20111,16920.6,0.16,223.157
20112,17035.1,0.09,224.200
20113,17031.3,0.08,225.733
20114,17222.6,0.07,226.937
20121,17367.0,0.10,228.130
20122,17444.5,0.15,229.251
20123,17469.7,0.14,230.287
20124,17489.9,0.16,231.360
20131,17662.4,0.14,232.531
20132,17709.7,0.12,233.059
20133,17860.5,0.08,234.305
20134,18016.1,0.09,235.346
20141,17954.0,0.07,236.257
20142,18185.9,0.09,237.479
20143,18406.9,0.09,238.462
20144,18500.0,0.10,239.411
20151,18666.6,0.11,240.246
20152,18782.2,0.12,241.699
20153,18857.4,0.14,242.899
20154,18892.2,0.16,244.185
20161,19001.7,0.36,245.459
20162,19062.7,0.37,247.076
20163,19197.9,0.40,248.365
20164,19304.4,0.45,249.514
20171,19398.3,0.70,250.803
20172,19506.9,0.95,251.468
20173,19660.8,1.15,252.444
20174,19882.4,1.20,253.895
20181,20044.1,1.45,255.729
20182,20150.5,1.74,257.058
20183,20276.2,1.92,257.986
20184,20304.9,2.22,259.473
20191,20431.6,2.40,261.173
20192,20602.3,2.40,262.318
20193,20843.3,2.19,263.848
20194,20985.4,1.64,265.513
20201,20693.2,1.26,267.047
20202,19056.6,0.06,265.669
20203,20548.8,0.09,268.248
20204,20771.7,0.09,269.876
20211,21058.4,0.08,270.882
20212,21389.0,0.07,275.564
20213,21571.4,0.09,279.129
20214,21960.4,0.08,283.427
20221,21903.9,0.12,288.033
20222,21919.2,0.77,292.174
20223,22066.8,2.19,296.648
20224,22249.5,3.65,300.377
20231,22403.4,4.52,303.968
20232,22539.4,4.99,307.468
20233,22780.9,5.26,309.740
20234,22960.6,5.33,312.345
20241,23053.5,5.33,315.569
20242,23223.9,5.33,317.997
20243,23400.3,5.26,319.869
20244,23536.3,4.65,322.534
