Date,l_gdp_obs,dla_cpi_obs,rs_obs
1990-04-01,9.218695371558917,693.2000000000016,8.24
1990-07-01,9.219359576396343,800.0,8.16
1990-10-01,9.21021036352545,626.8000000000029,7.74
1991-01-01,9.205518766696965,800.0,6.43
1991-04-01,9.213286029264752,506.39999999999645,5.86
1991-07-01,9.218328382698365,613.5999999999967,5.64
1991-10-01,9.221804408084422,533.1999999999994,4.82
1992-01-01,9.233705274280915,506.80000000000973,4.02
1992-04-01,9.244490559406099,506.39999999999645,3.77
1992-07-01,9.2543285488469,453.59999999999445,3.26
1992-10-01,9.264695972713735,533.1999999999994,3.04
1993-01-01,9.266370927801109,520.0000000000045,3.04
1993-04-01,9.272168974599117,506.79999999999836,3.0
1993-07-01,9.276933031925315,360.0000000000023,3.06
1993-10-01,9.290444616217844,479.99999999999545,2.99
1994-01-01,9.300098805681444,400.0,3.21
1994-04-01,9.313564607411434,426.400000000001,3.94
1994-07-01,9.319392066842362,466.80000000000064,4.49
1994-10-01,9.330777659764527,400.0,5.17
1995-01-01,9.334326351757174,533.1999999999994,5.81
1995-04-01,9.337298960975394,520.0000000000045,6.02
1995-07-01,9.345771209512511,426.8000000000029,5.8
1995-10-01,9.35254281217331,453.19999999999254,5.72
1996-01-01,9.360000986530576,439.9999999999977,5.36
1996-04-01,9.376541015639082,386.8000000000052,5.24
1996-07-01,9.385477851640061,426.8000000000029,5.31
1996-10-01,9.39580697791421,426.400000000001,5.28
1997-01-01,9.40224090355046,386.7999999999938,5.28
1997-04-01,9.418751938529878,426.8000000000029,5.52
1997-07-01,9.431161227920747,293.20000000000164,5.53
1997-10-01,9.439664782365474,386.7999999999938,5.51
1998-01-01,9.449648568598516,413.2000000000062,5.52
1998-04-01,9.45886312938978,386.7999999999938,5.5
1998-07-01,9.471380683481527,413.2000000000062,5.53
1998-10-01,9.487343122925669,386.7999999999938,4.86
1999-01-01,9.496691559192968,306.4000000000078,4.73
1999-04-01,9.505000540782955,333.6000000000013,4.75
1999-07-01,9.518177950631529,373.1999999999971,5.09
1999-10-01,9.534450801041515,400.0,5.31
2000-01-01,9.538067337082763,466.80000000000064,5.68
2000-04-01,9.556119167917695,453.19999999999254,6.27
2000-07-01,9.557137692418504,480.0000000000068,6.52
2000-10-01,9.563093636171354,439.9999999999977,6.47
2001-01-01,9.559806393964244,533.1999999999994,5.59
2001-04-01,9.56603383441949,453.6000000000058,4.33
2001-07-01,9.562017849354623,506.39999999999645,3.5
2001-10-01,9.56476478536976,493.60000000000355,2.13
2002-01-01,9.573092810474941,413.1999999999948,1.73
2002-04-01,9.57919681921696,386.8000000000052,1.75
2002-07-01,9.583254739789961,400.0,1.74
2002-10-01,9.584493675565085,346.3999999999942,1.44
2003-01-01,9.589742095081276,253.60000000000582,1.25
2003-04-01,9.598564369301773,133.19999999999936,1.25
2003-07-01,9.615058534523289,306.79999999999836,1.02
2003-10-01,9.626600338711972,200.0,1.0
2004-01-01,9.63224953250028,373.1999999999971,1.0
2004-04-01,9.639971124583127,493.20000000000164,1.01
2004-07-01,9.649407875906267,333.6000000000013,1.43
2004-10-01,9.659560768289149,479.99999999999545,1.95
2005-01-01,9.6705903385283,493.20000000000164,2.47
2005-04-01,9.675507323330391,373.1999999999971,2.94
2005-07-01,9.683314584666752,266.80000000000064,3.46
2005-10-01,9.688851459952405,533.1999999999994,3.98
2006-01-01,9.702215565223149,506.79999999999836,4.46
2006-04-01,9.704804879646929,666.8000000000006,4.91
2006-07-01,9.706298013035628,560.0000000000023,5.25
2006-10-01,9.714860155657291,426.400000000001,5.25
2007-01-01,9.717862545353286,487.1999999999957,5.26
2007-04-01,9.72396008862655,406.0000000000059,5.25
2007-07-01,9.729705430759642,433.19999999999936,5.07
2007-10-01,9.735967904969915,594.399999999996,4.5
2008-01-01,9.731690419198387,563.2000000000062,3.18
2008-04-01,9.737627754428782,372.00000000000273,2.09
2008-07-01,9.732361096102682,553.5999999999945,1.94
2008-10-01,9.710230419694318,212.00000000000045,0.51
2009-01-01,9.69881608687728,363.99999999999864,0.18
2009-04-01,9.69702288214957,444.00000000000546,0.18
2009-07-01,9.70053258343968,261.19999999999663,0.16
2009-10-01,9.711285342461467,449.1999999999962,0.12
2010-01-01,9.716115262234561,13.200000000006185,0.13
2010-04-01,9.725747484675768,110.79999999999472,0.19
2010-07-01,9.733428502939365,213.99999999999864,0.19
2010-10-01,9.738665973975678,231.6000000000031,0.19
2011-01-01,9.736287093524396,420.00000000000455,0.16
2011-04-01,9.743031200344934,417.1999999999912,0.09
2011-07-01,9.742808106621162,613.2000000000062,0.08
2011-10-01,9.753977753808456,481.6000000000031,0.07
2012-01-01,9.762327132747114,477.19999999999345,0.1
2012-04-01,9.76677969170253,448.40000000000373,0.15
2012-07-01,9.768223230685294,414.40000000000055,0.14
2012-10-01,9.769378850443415,429.200000000003,0.16
2013-01-01,9.779193365264087,468.3999999999969,0.14
2013-04-01,9.781867791051246,211.19999999999663,0.12
2013-07-01,9.79034684955934,498.40000000000373,0.08
2013-10-01,9.799021081545682,416.3999999999987,0.09
2014-01-01,9.795568210316635,364.40000000000055,0.07
2014-04-01,9.80840184753545,488.80000000000337,0.09
2014-07-01,9.82048087330215,393.19999999999027,0.09
2014-10-01,9.825526011066415,379.6000000000049,0.1
2015-01-01,9.834491109614227,334.0000000000032,0.11
2015-04-01,9.840664891801103,581.2000000000012,0.12
2015-07-01,9.844660688783856,479.99999999999545,0.14
2015-10-01,9.846504417451609,514.4000000000005,0.16
2016-01-01,9.852283727830256,509.60000000000036,0.36
2016-04-01,9.855488825098007,646.7999999999961,0.37
2016-07-01,9.86255617703399,515.6000000000063,0.4
2016-10-01,9.868088328184262,459.60000000000036,0.45
2017-01-01,9.872940712345807,515.5999999999949,0.7
2017-04-01,9.878523528116899,265.9999999999968,0.95
2017-07-01,9.886382084633189,390.39999999999964,1.15
2017-10-01,9.897590197270045,580.4000000000087,1.2
2018-01-01,9.905690125091317,733.6000000000013,1.45
2018-04-01,9.91098438096275,531.5999999999917,1.74
2018-07-01,9.91720306342207,371.1999999999989,1.92
2018-10-01,9.918617515212924,594.8000000000093,2.22
2019-01-01,9.924838000946778,679.9999999999955,2.4
2019-04-01,9.933157999030657,457.9999999999927,2.4
2019-07-01,9.944787832659587,612.0000000000118,2.19
2019-10-01,9.951582236820244,665.9999999999854,1.64
2020-01-01,9.937560422869263,613.6000000000195,1.26
2020-04-01,9.855168777245499,-551.2000000000171,0.06
2020-07-01,9.930557824058791,1031.600000000003,0.09
2020-10-01,9.94134676234114,651.1999999999944,0.09
2021-01-01,9.955054809392534,402.40000000001146,0.08
2021-04-01,9.970632050165458,1872.8000000000065,0.07
2021-07-01,9.97912364223756,1425.999999999999,0.09
2021-10-01,9.996996110393825,1719.2000000000007,0.08
2022-01-01,9.994419982141622,1842.3999999999978,0.12
2022-04-01,9.995118244045578,1656.399999999985,0.77
2022-07-01,10.001829495534809,1789.6000000000186,2.19
2022-10-01,10.010074815431777,1491.599999999994,3.65
2023-01-01,10.016968012039131,1436.4000000000033,4.52
2023-04-01,10.023020167896076,1400.0,4.99
2023-07-01,10.03367774456139,908.7999999999965,5.26
2023-10-01,10.041534982496238,1042.0000000000073,5.33
2024-01-01,10.045572880715476,1289.5999999999958,5.33
2024-04-01,10.052937199804738,971.1999999999989,5.33
2024-07-01,10.06050412177643,748.8000000000056,5.26
2024-10-01,10.066299189190984,1065.9999999999854,4.65
